ORDER_ID,BOOK_ID,TITLE,QUANTITY,TOTAL_PRICE,TIMESTAMP
1762992825675,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-13 00:13:45
1762992826985,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-13 00:13:46
1762993208881,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-13 00:20:08
1762993239276,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-13 00:20:39
1762993240530,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-13 00:20:40
1762993718017,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-13 00:28:38
1762994246614,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-13 00:37:26
1762994472206,2,RPCs for Noobs,1,30,2025-11-13 00:41:12
1763823620531,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-22 15:00:20
1763824201412,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-11-22 15:10:01
1764341576145,2,RPCs for Noobs,1,100,2025-11-28 14:52:56
1764341714504,2,RPCs for Noobs,1,100,2025-11-28 14:55:14
1764341718714,2,RPCs for Noobs,1,100,2025-11-28 14:55:18
1766237349735,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-12-20 13:29:09
1766237362708,2,RPCs for Noobs,1,100,2025-12-20 13:29:22
1766237387359,4,Cooking for the Impatient Undergrad,1,20,2025-12-20 13:29:47
1766237914633,2,RPCs for Noobs,1,100,2025-12-20 13:38:34
1766237915171,3,Xen and the Art of Surviving Undergraduate School,1,25,2025-12-20 13:38:35
1766237915698,4,Cooking for the Impatient Undergrad,1,20,2025-12-20 13:38:35
1766237917886,1,How to get a good grade in DOS in 40 minutes a day,1,100,2025-12-20 13:38:37
1766237918417,2,RPCs for Noobs,1,100,2025-12-20 13:38:38
1766237918970,3,Xen and the Art of Surviving Undergraduate School,1,25,2025-12-20 13:38:38
1766237919547,4,Cooking for the Impatient Undergrad,1,20,2025-12-20 13:38:39
